metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1663712452,0.000000,,,,,,,,,,,,,,,
vus_max,1663712452,1.000000,,,,,,,,,,,,,,,
vus,1663712453,0.000000,,,,,,,,,,,,,,,
vus_max,1663712453,1.000000,,,,,,,,,,,,,,,
vus,1663712454,0.000000,,,,,,,,,,,,,,,
vus_max,1663712454,1.000000,,,,,,,,,,,,,,,
vus,1663712455,0.000000,,,,,,,,,,,,,,,
vus_max,1663712455,1.000000,,,,,,,,,,,,,,,
vus,1663712456,0.000000,,,,,,,,,,,,,,,
vus_max,1663712456,1.000000,,,,,,,,,,,,,,,
vus,1663712457,0.000000,,,,,,,,,,,,,,,
vus_max,1663712457,1.000000,,,,,,,,,,,,,,,
vus,1663712458,0.000000,,,,,,,,,,,,,,,
vus_max,1663712458,1.000000,,,,,,,,,,,,,,,
vus,1663712459,0.000000,,,,,,,,,,,,,,,
vus_max,1663712459,1.000000,,,,,,,,,,,,,,,
vus,1663712460,0.000000,,,,,,,,,,,,,,,
vus_max,1663712460,1.000000,,,,,,,,,,,,,,,
vus,1663712461,0.000000,,,,,,,,,,,,,,,
vus_max,1663712461,1.000000,,,,,,,,,,,,,,,
http_reqs,1663712461,1.000000,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
http_req_duration,1663712461,230.969900,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
http_req_blocked,1663712461,101.863400,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
http_req_connecting,1663712461,40.479400,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
http_req_tls_handshaking,1663712461,54.975700,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
http_req_sending,1663712461,0.048500,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
http_req_waiting,1663712461,230.822500,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
http_req_receiving,1663712461,0.098900,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
http_req_failed,1663712461,0.000000,,,,true,::Login::GenerateToken,POST,https://demoqa.com/Account/v1/GenerateToken,HTTP/1.1,demoqabook,,200,,tls1.3,https://demoqa.com/Account/v1/GenerateToken,
group_duration,1663712461,333.461500,,,,,::Login::GenerateToken,,,,demoqabook,,,,,,
